# Time-averaged data for fix msd_output
# TimeStep c_msd_compute[4]
50000 1.00753e-28
50100 0.227676
50200 1.27294
50300 4.47091
50400 11.4208
50500 22.0349
50600 36.9246
50700 58.0248
50800 85.7969
50900 116.825
51000 145.376
51100 172.116
51200 200.304
51300 227.857
51400 249.755
51500 266.058
51600 283.623
51700 301.169
51800 313.629
51900 320.356
52000 323.991
52100 328.061
52200 331.749
52300 328.95
52400 320.628
52500 313.796
52600 309.293
52700 301.254
52800 289.547
52900 278.808
53000 271.979
53100 266.255
53200 258.231
53300 252.699
53400 255.106
53500 263.129
53600 273.685
53700 286.943
53800 308.209
53900 341.655
54000 381.175
54100 425.803
54200 482.084
54300 554.601
54400 638.397
54500 721.361
54600 804.736
54700 895.53
54800 988.833
54900 1074.16
55000 1149.68
55100 1225.53
55200 1296.49
55300 1347.76
55400 1376.71
55500 1386.95
55600 1378.76
55700 1341.57
55800 1268.41
55900 1176.75
56000 1081.05
56100 986.688
56200 899.129
56300 827.128
56400 778.716
56500 756
56600 749.523
56700 753.155
56800 770.101
56900 803.696
57000 844.523
57100 883.184
57200 925.772
57300 979.307
57400 1043.06
57500 1108.07
57600 1168.77
57700 1237.96
57800 1320.29
57900 1405.71
58000 1488.25
58100 1579.56
58200 1686.82
58300 1798.49
58400 1904.51
58500 2004.58
58600 2110.97
58700 2225.8
58800 2323.97
58900 2401.05
59000 2467.3
59100 2524.46
59200 2555.37
59300 2544.16
59400 2513.42
59500 2480.58
59600 2434.32
59700 2371.28
59800 2306.68
59900 2257.54
60000 2211.27
60100 2157.86
60200 2112.8
60300 2087.24
60400 2071.04
60500 2055.44
60600 2049.71
60700 2061.7
60800 2092.25
60900 2133.21
61000 2173.88
61100 2225.57
61200 2305.16
61300 2409.99
61400 2537.55
61500 2696
61600 2912.79
61700 3184.4
61800 3487.67
61900 3801.34
62000 4115.96
62100 4410.2
62200 4627.48
62300 4751.82
62400 4816.45
62500 4844.04
62600 4836.98
62700 4782.18
62800 4690.25
62900 4605.83
63000 4529.76
63100 4444.47
63200 4354.02
63300 4273.58
63400 4217.05
63500 4172.8
63600 4120.36
63700 4072.57
63800 4051.64
63900 4046.3
64000 4034.48
64100 4024.08
64200 4032
64300 4061.65
64400 4093.36
64500 4116.91
64600 4161.41
64700 4237.79
64800 4330.99
64900 4427.1
65000 4542.48
65100 4698.64
65200 4869.55
65300 5032.55
65400 5198.81
65500 5381.39
65600 5567.06
65700 5721.67
65800 5849.4
65900 5982.74
66000 6109.5
66100 6204.94
66200 6274.06
66300 6355.88
66400 6444.14
66500 6511.16
66600 6546.17
66700 6545.38
66800 6505.87
66900 6410.38
67000 6239.04
67100 6020.82
67200 5814.97
67300 5632.71
67400 5471.78
67500 5341.15
67600 5247.74
67700 5192.03
67800 5168.21
67900 5183.3
68000 5253.74
68100 5370.19
68200 5504.91
68300 5663.51
68400 5862.34
68500 6101.19
68600 6376.87
68700 6687.07
68800 7040.81
68900 7407.46
69000 7729.82
69100 8000.44
69200 8233.92
69300 8435.05
69400 8600.36
69500 8719.16
69600 8789.63
69700 8844.59
69800 8901.64
69900 8927.61
70000 8905.59
70100 8858.95
70200 8807.4
70300 8757.28
70400 8698.98
70500 8608.52
70600 8517.66
70700 8470.86
70800 8451.7
70900 8435.17
71000 8426.27
71100 8441.04
71200 8482.19
71300 8544.26
71400 8621.63
71500 8713.42
71600 8829.15
71700 8981.78
71800 9157.57
71900 9330.52
72000 9509.65
72100 9724.65
72200 9963.82
72300 10203
72400 10440.5
72500 10719.8
72600 11051.5
72700 11382
72800 11690.6
72900 11985.7
73000 12277.5
73100 12532.1
73200 12691.8
73300 12773.7
73400 12809.8
73500 12784.9
73600 12670.1
73700 12462.8
73800 12216
73900 11953.7
74000 11646
74100 11311.5
74200 11005.7
74300 10758.4
74400 10543.9
74500 10359.1
74600 10247.1
74700 10224
74800 10263.5
74900 10351.9
75000 10491.9
75100 10692.6
75200 10956.1
75300 11253.4
75400 11562.8
75500 11901.6
75600 12286.4
75700 12667
75800 12987.6
75900 13261.8
76000 13511.9
76100 13751.2
76200 13973
76300 14143.7
76400 14256.3
76500 14370.7
76600 14503.5
76700 14623
76800 14716.6
76900 14795
77000 14868.6
77100 14934.7
77200 14988.2
77300 15028.8
77400 15068.8
77500 15122.8
77600 15172.5
77700 15186.5
77800 15191.6
77900 15250.4
78000 15344.8
78100 15438.4
78200 15531.2
78300 15647.1
78400 15804.5
78500 15993.9
78600 16166.4
